trail_id,name,city,region_name,length_km,ascent,descent,deepest_point,highest_point,unit,duration_minutes,difficulty,season,route_type,aktivitat,angebot,thema
905,Plan Francey – Moléson (Gruyères),Westschweiz,Fribourg,7.8,658,218,1398,1958,m,165,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Gipfel', 'Panorama', 'Höhenweg']"
903,"Gantrisch Panoramaweg, Gurnigel Bad – Zollhaus",Bern,,20.9,936,1217,869,1719,m,380,T1,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']","['Panorama', 'Höhenweg', 'Top-Touren']"
901,"Rochers de Naye, Montreux",Westschweiz,Waadt,2.8,370,136,1697,1968,m,75,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],['Verpflegung'],"['Gipfel', 'Pass', 'Panorama', 'Höhenweg']"
899,Piz Scalottas (Lenzerheide) – Piz Danis – Alp Stätz / Heidbüel (Churwalden),Graubünden,Surses,7.9,424,819,1868,2495,m,165,T3,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],['Verpflegung'],"['Gipfel', 'Panorama', 'Höhenweg', 'Gratweg']"
897,"Val Frisal, Burleun – Brigels / Breil (Surselva)",Graubünden,Surselva,12,523,905,1271,1915,m,235,T3,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']",['Tal']
895,Maggiatal: Ponte Brolla – Maggia,Tessin,Maggiatal,10.3,453,381,240,418,m,185,T2,"['Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Top-Touren', 'Tal']"
893,"Dreibündenstein Panoramaweg (Chur, Brambrüesch – Feldis)",Graubünden,,12.3,675,803,1462,2172,m,245,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Hofladen']","['Gipfel', 'Panorama', 'Höhenweg', 'Gratweg']"
891,Rosenlaui Gletscherschlucht – Schwarzwaldalp – Grosse Scheidegg,Bern,Haslital,6.7,662,33,1327,1962,m,145,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']","['Schlucht', 'Naturwunder', 'Tal']"
889,Oeschinensee (Kandersteg),Bern,Kandertal,8.4,527,527,1582,1988,m,180,T3,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Feuerstelle']","['Panorama', 'See', 'Top-Touren', 'Bergsee']"
887,"Gasterntal, Kandersteg – Selden",Bern,Kandertal,10.7,468,93,1174,1551,m,185,T2,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Feuerstelle', 'Alp-BnB']","['Familie', 'Fluss', 'Top-Touren', 'Tal']"
885,"Thurgauer Seerückenweg (Müllheim – Steckborn, Bodensee)",Ostschweiz,Bodensee,10.5,322,334,402,694,m,170,T1,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle', 'Hofladen']","['Familie', 'See']"
883,Urnerboden (Klausenpass) – Braunwald,Ostschweiz,Glarnerland,12.5,333,451,1206,1480,m,205,T2,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Hofladen']","['Panorama', 'Höhenweg']"
881,Flumserberg Maschgenkamm – Seebenalp – Tannenbodenalp (7-Gipfel-Tour),Ostschweiz,Sarganserland,14.4,767,1389,1388,2316,m,315,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Gipfel', 'Panorama', 'See', 'Höhenweg', 'Gratweg', 'Top-Touren']"
877,Wanderung von Bellinzona zu den drei Burgen,Tessin,Bellinzona,9.5,486,486,229,601,m,185,T2,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Familie', 'Themenweg']"
879,Quinten – Walenstadt (Walensee),Ostschweiz,Sarganserland,10.4,522,521,423,843,m,200,T2,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Feuerstelle']","['Familie', 'See', 'Schiff', 'Top-Touren']"
875,Col du Pillon – Lac Retaud – Arnensee – Feutersoey,Bern,Gstaad / Saanenland,12.6,481,896,1130,1917,m,235,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Feuerstelle']","['Pass', 'See', 'Bergsee']"
